English,Uzbek
fees,to'lovlar
kindly,mehribon
dignity,qadr-qimmati
catch,ushlamoq
October,Oktyabr
seated,o'tirgan
knees,tizzalar
amongst,orasida
current,hozirgi
sending,yuborish
parties,Tomonlar
objects,ob'ektlar
gained,erishilgan
bitter,achchiq
possibly,ehtimol
slave,qul
separate,alohida
loose,bo'sh
text,matn
receiving,qabul qilish
worst,eng yomon
sold,sotilgan
don,don
credit,kredit
chosen,tanlangan
hoped,umid qilgan
printed,bosma
terror,terror
features,Xususiyatlari
fond,yoqadigan
control,boshqaruv
capable,qobiliyatli
fifteen,o'n besh
doesn't,emas
firm,firma
superior,ustun
cruel,shafqatsiz
spiritual,ruhiy
Harry,Garri
splendid,juda yaxshi
proof,isbot
pressed,bosilgan
sooner,tezda
join,qo'shilmoq
process,jarayoni
crime,jinoyat
dust,chang
instantly,bir zumda
lands,Erlar
relation,aloqada bo'lish
doors,Eshiklar
concerned,manfaatdor
deeply,chuqur
practical,amaliy
colour,rang
sing,kuylamoq
destroy,vayron qilmoq
anger,g'azab
distributing,tarqatish
results,Natijalar
increase,kattalashtirish; ko'paytirish
reasons,sabablar
nose,burun
friendly,do'stona
entrance,Kirish
rooms,Xonalar
admit,tan olmoq
supply,ta'minlamoq
clean,tozalamoq
useful,foydali
yesterday,kecha
delicate,nozik
fail,muvaffaqiyatsiz
continue,davom eting
remove,olib tashlamoq
addressed,murojaat qilgan
choice,tanlash
huge,ulkan
needs,ehtiyoj
wear,kiymoq
blind,ko'r
unable,qodir
cover,qopqoq
double,ikki baravar
victory,g'alaba
dozen,o'nlab
constantly,doimo
level,Daraja
India,Hindiston
release,ozod qilmoq
rough,qo'pol
ended,tugadi
shows,Shou
fly,pashsha
praise,Maqtov
devil,shayton
ahead,oldinda
smith,smit
connected,ulangan
degrees,dog '
gain,daromad
addition,qo'shimcha
committed,sof
chamber,kamera
notes,qaydlar
Italian,Italyan
gradually,asta-sekin
acquaintance,tanishish
bought,sotib olingan
souls,ruhlar
mission,vazifa
sacrifice,qurbonlik qilmoq
cities,shaharlar
mistake,Xato
exercise,mashq qilmoq
conscience,vijdon
based,asos
car,mashina
buried,ko'milgan
theory,nazariya
commanded,buyurgan
nobody,hech kim
minister,vazir
closely,yaqindan
energy,energiya
dick,dik
bare,yalang'och
fought,jang qildi
partly,qisman
mistress,bekit
hate,nafrat
arose,ko'tarilmoq
playing,o'ynash
color,rang
lake,ko'l
safety,xavfsizlik
provisions,qoidalar
description,tavsif
asleep,uxlab yotgan
centre,markaz
faint,holsiz
thinks,deb o'ylaydi
parents,ota-onalar
escaped,qochib ketgan
careful,ehtiyotkor
enjoy,zavqlanmoq
drop,tomchilamoq
brilliant,yorqin
brief,qisqacha
bringing,olib kelmoq
worship,ibodat qilmoq
goods,tovarlar
tale,ertak
skin,teri
roof,tom
grey,kulrang
highly,juda
crown,toj
castle,qal'a
excited,hayajonlangan
throne,taxt
stated,bildirilgan
despair,umidsizlik
ease,qulaylik
attached,biriktirilgan
total,jami
kindness,mehribonlik
mile,milya
citizens,Fuqarolar
circle,aylanmoq
dull,zerikarli
extreme,haddan tashqari
clouds,bulutlar
figures,raqamlar
intention,niyat
prison,qamoqxona
term,muddat
assured,ishongan
hidden,yashirin
thoroughly,sinchkovlik bilan
cup,kosa
member,a'zo
civil,fuqarolik
apply,qo'llamoq
labor,mehnat
everywhere,hamma joyda
intelligence,razvedka
strike,ish tashlash
fairly,odilona
comply,bajarmoq
fellows,bolalik
haven't,yo'q
event,voqea
gently,muloyimlik bilan
connection,ulanish
protection,himoya qilish
conscious,ongli
edition,nashr
directed,yo'naltirilgan
pulled,tortib olmoq
flight,parvoz
evident,ravshan
surrounded,o'ralgan
wishes,tilaklar
yards,hovlilar
voices,Ovozlar
weary,charchatadigan
couple,er-xotin
variety,xilma-xillik
whilst,qaysar
volume,hajmi
details,tafsilotlar
older,katta
requirements,talablar
custom,odat
apart,alohida
bow,kamon
awful,dahshatli
everybody,hamma
labour,mehnat
asking,so'rash
lover,oshiq
showing,ko'rsatish
introduced,tanishtirdi
suit,kostyum
becoming,bo'lish
composed,tuzilgan
plans,reja tuzmoq
rendered,ko'rsatilgan
pictures,rasmlar
lest,arzimas
volunteers,ko'ngillilar
singing,kuylash
eager,ishtiyoqli
precious,qimmatbaho
paused,kulrang
require,talab qilmoq
meat,go'sht
whenever,har doim
milk,sut
dogs,itlar
successful,omadli
plants,O'simliklar
vision,qarash
rare,kam uchraydigan
granted,zimmasiga tushgan
raise,oshirish
Egypt,Misr
manners,odoblar
cousin,amakivachcha
you've,siz
development,rivojlanish
Arthur,Artur
obs,parvarish qilmoq
cool,salqin
trial,sud jarayoni
learning,o'rganish
approached,yaqinlashdi
bridge,ko'prik
abroad,chet elda
devoted,bag'ishlangan
paying,to'lov
literary,adabiy
writer,yozuvchi
fn,fn
Israel,Isroillik
disappeared,G'oyib bo'lgan
interrupted,to'xtatildi
stock,Aksiya
readers,O'quvchilar
dreadful,dahshatli
female,ayol
protect,himoya qilmoq
accustomed,odatlangan
Virginia,Bokiralik
type,tur
recognized,tan olingan
salt,tuz
destroyed,vayron bo'lgan
signs,belgilar
innocent,begunoh
temper,fe'l-atvor
plenty,mo'l-ko'l
pope,papa
avoid,oldini olmoq
hurried,shoshqaloq
represented,vakili
favor,marhamat
mental,aqliy
attitude,munosabat
returning,qaytish
admiration,qoyil qolish
brothers,birodarlar
anxiety,xavotirlik
queen,qirolicha
teach,o'rgatmoq
count,hisoblamoq
curiosity,qiziquvchanlik
solemn,tantanali
causes,sabablar
vessels,tomir
compelled,majburan
dance,raqsga tushmoq
hotel,mehmonxona
wicked,yomon
fled,qochib ketgan
kissed,o'pishgan
guns,qurollar
fill,to'ldirmoq
visible,ko'rinadigan
younger,yosh
guide,qo'llanma
earnest,qattiq
actual,haqiqiy
companions,sherik
prisoner,mahbus
miserable,baxtsiz
lad,bola
harm,zarar
views,Ko'rishlar
Irish,Irland
utterly,mutlaqo
ends,tugaydi
shop,do'kon
stairs,zinapoya
pardon,kechirmoq
gay,gey
beg,yolvormoq
seldom,kamdan-kam
kinds,turlari
record,yozmoq
fat,yog '
sand,qum
violent,zo'ravon
branches,Filiallar
inquired,so'radi
IV,Iv
September,Sentyabr
worn,eskirgan
Ireland,Irlandiyalik
flat,kvartira
departure,jo'nash
delivered,yetkazib berilgan
gift,sovg'a
ruin,xarob
skill,mahorat
cattle,qoramol
Word,So'z
equipment,asbob-uskunalar
temple,ma'bad
calls,qo'ng'iroqlar
earlier,ilgari
license,litsenziya
visited,tashrif buyurilgan
en,ro'mol
consent,rozilik
sufficiently,yetarli darajada
natives,mahalliy aholi
wound,jarohat
laughter,kulgu
contained,tarkibida
perceived,qabul qilingan
scattered,tarqalgan
whence,qayerdan
rushed,shoshqaloq
chiefly,asosan
bold,qalin
anywhere,har qanday joyda
witness,guvoh
foolish,ahmoqona
helped,yordam berdi
kitchen,oshxona
sell,sotmoq
anybody,hech kim
self,o'zini
extremely,juda
treatment,davolash
throat,tomoq
dreams,orzular
patient,bemor
speed,tezlik
growth,o'sish
quantity,miqdori
Latin,Lotin
immense,katta
conclusion,xulosa
computer,kompyuter
affected,ta'sirlangan
severe,qattiq
excuse,uzr
triumph,zafar
origin,kelib chiqishi
Joseph,Yaspon
slept,uxlamoq
eternal,abadiy
thine,sizniki
audience,tomoshabinlar
pages,Sahifalar
sounds,tovushlar
swift,tez
limited,cheklangan
wings,qanotlari
stepped,qadam tashlamoq
services,Xizmatlar
library,kutubxona
remaining,qolgan
containing,o'z ichiga olgan
base,asos
confusion,tartibsizlik
win,g'alaba qozonmoq
maid,xizmatkor
charming,maftunkor
editions,nashrlar
attended,qatnashgan
softly,yumshoq
reality,haqiqat
performed,ijro etilgan
glorious,ulug'vor
likewise,xuddi shunday
site,sayt
sail,yelkanli
frightened,qo'rqqan
acquainted,tanish
unhappy,baxtsiz
feared,qo'rqqan
article,maqola
prisoners,mahbuslar
store,do'kon
adopted,qabul qilingan
shalt,shall
remark,izoh
cook,pishirmoq
thousands,minglab
pause,pauza
inclined,moyil
convinced,ishongan
band,guruh
valuable,qimmatbaho
hence,shu sababli
desert,cho'l
effects,effektlar
kiss,o'pmoq
plant,o'simlik
ice,muz
ball,to'p
stick,tayoq
absolute,mutlaq
readily,to'g'ri
behold,ko'rkam
fierce,shiddatli
argument,dalil
observe,kuzatmoq
blessed,muborak
bosom,yostiq
rage,g'azab
striking,urishqoq
discovery,kashfiyot
creatures,maxluqot
shouted,baqiriq
guilty,aybdor
related,bog'liq
setting,sozlamoq
forgot,unutmoq
punishment,jazo
gun,qurol
slightly,bir oz
articles,Maqolalar
police,politsiya
mysterious,sirli
extended,cho'zilgan
confess,tan olish
shade,soya
murder,qotillik
emotion,his-tuyg'u
destruction,halokat
wondered,hayratda qolgan
increasing,o'sib borayotgan
hide,yashirmoq
expedition,ekspeditsiya
horror,dahshat
local,mahalliy
expenses,xarajatlar
ignorant,johil
doctrine,ta'limot
generous,saxiy
range,oraliq
host,xost
wet,ho'l
cloud,bulut
mystery,sirli
Ed,Ed
waste,isrof qilmoq
changes,o'zgarishlar
possess,ega bo'lmoq
consciousness,ong
February,fevral
trembling,titrash
disease,kasallik
formerly,avval
spend,sarflamoq
production,ishlab chiqarish
source,manba
mankind,insoniyat
universal,universal
deck,kestirib
sees,ko'radi
habits,odatlar
estate,mulk
aunt,xola
reign,hukmronlik
humble,kamtar
compliance,muvofiqlik
delay,kechiktirmoq
shining,yaltirash
reported,xabar berayotgan
hers,xom
unfortunate,baxtsiz
midnight,yarim tunda
listening,tinglash
flower,gul
hero,qahramon
accomplished,amalga oshirilgan
doth,dot
classes,sinflar
thanks,rahmat
banks,Banklar
philosophy,falsafa
belong,tegishli
finger,barmoq
comfortable,qulay
market,bozor
cap,qalpoqcha
waves,to'lqinlar
woman's,ayol
glanced,qarsillatilgan
troubled,tashvishli
difficulties,Qiyinchiliklar
picked,tanlangan
European,Evropalik
purposes,maqsad
somewhere,biror joyda
delighted,Men maftunman
pushed,itarilgan
press,bosmoq
household,uy xo'jaligi
fleet,flot
baby,chaqaloq
region,mintaqa
lately,so'nggi paytlarda
uttered,but
exact,aniq
image,rasm
ages,asrlar
murmured,noo'rin
melancholy,miyancholiya
suspicion,shubha
bowed,ta'zim qilmoq
refuse,rad qilmoq
Elizabeth,Elizabet
staff,xodimlar
liability,javobgar
we'll,Biz
enjoyed,zavq bag'ishlagan
stretched,cho'zilgan
gaze,ko'z tashlamoq
belonged,tegishli
ashamed,uyalib ketmoq
reward,mukofot
meal,ovqat
blame,ayblamoq
nodded,bosh irg'atmoq
status,holat
opinions,fikrlar
indicate,ko'rsatmoq
poem,she'r
savage,yovvoyi
arise,o'ramoq
voyage,sayohat
misery,baxtsizlik
guests,Mehmonlar
painted,bo'yalgan
attend,qatnashmoq
afford,imkoniyat bermoq
donate,xayr-ehson qilmoq
job,ish
proceed,davom etmoq
loves,sevadi
forehead,peshona
regret,afsuslanmoq
plainly,aniq
risk,xavf
ad,reklama
lighted,yoritilgan
angel,farishta
rapid,tez
distinct,aniq
doubtless,shubhasiz
properly,to'g'ri
wit,aqldan ozgan
fame,shon-sharaf
singular,yakka
error,xato
utmost,eng uzoq
methods,usul
reputation,obro'si
appeal,Shikoyat qilish
she's,u
w,shilmoq
strongly,kuchli
Margaret,Margaret
lack,yo'q bo'lmoq
breaking,sindirib tashlash
dawn,tong otmoq
violence,zo'ravonlik
fatal,halokatli
render,bermoq
career,martaba
design,dizayn
displayed,namoyish qilingan
gets,olis
commercial,tijorat
forgive,kechirmoq
lights,chiroqlar
agreeable,ma'qul
suggestion,taklif
utter,shodlik
sheep,qo'y
resolution,hal qilish
spare,zaxira qilmoq
patience,sabr
domestic,mahalliy
concluded,xulosa qilmoq
tis,tima
farm,ferma
reference,ma'lumotnoma
Chinese,Xitoycha
exist,mavjud
corn,makkajo'xori
approaching,yaqinlashish
alike,bir xil
mounted,o'rnatilgan
Jane,She'li
issue,nashr
key,kalit
providing,ta'minlash
majority,ko'pchilik
measures,o'lchovlar
towns,Shaharlar
flame,olov
Boston,Boston
dared,jur'atsiz
ignorance,savodsizlik
reduced,kamaygan
occasionally,vaqti-vaqti bilan
y,shilmoq
weakness,kuchsizlik
furnished,jihozlangan
china,Xitoy
priests,ruhoniylar
flying,parvoz
cloth,mato
gazed,qaragan
profit,foyda
fourth,to'rtinchi
bell,qo'ng'iroq
hitherto,shu zahoti
benefit,foyda keltirmoq
movements,harakat
eagerly,ishtiyoq bilan
acted,harakat qilib ko'rgan
urged,iltifot
ascii,askar
disposed,tashlangan
electronically,elektron shaklda
atmosphere,atmosfera
chapter,bob
begged,yolvorgan
Helen,Xelen
hole,teshik
invited,taklif qilindi
borne,ko'tarilmoq
departed,jasoratli
catholic,Katolik
files,fayllar
reasonable,oqilona
sugar,shakar
replacement,almashtirish
sigh,xo'r
humanity,insoniyat
thrust,otmoq
frame,ramka
opposition,muxolifat
disk,disk
haste,shoshqaloqlik
lonely,yolg'iz
artist,rassom
knight,ritsar
quarters,kvartal
charm,joziba
substance,modda
rolled,yaynoq
email,elektron pochta
flung,jahli chiqqan
celebrated,mashhur
division,taqsimlash
slavery,qullik
verse,oyat
decision,qaror
probable,ehtimol
painful,alamli
governor,hokim
forever,abadiy
turns,burilish
branch,filial
ocean,okean
rear,orqa
leader,rahbar
delightful,zavqli
stared,tikilib qolgan
boats,qayiqlar
keen,o'tkir
disposition,gap
senses,hislar
occasions,holatlar
readable,o'qigan
beloved,suyukli
inches,dyuym
bones,suyak
enthusiasm,ishtiyoq
materials,materiallar
luck,omad
derived,olinadigan
managed,boshqariladigan
community,jamiyat
apparent,ravshan
preserved,saqlanib qolgan
magnificent,ajoyib
hurry,shoshilmoq
scheme,sxema
oil,yog '
thence,u erdan
reaching,erishmoq
dim,xira
wretched,achinib qolgan
hanging,osilgan
pipe,quvur
useless,foydasiz
nevertheless,shunga qaramay
print,bosib chiqarish
smooth,silliq
solid,qattiq
pursued,ta'qib qilmoq
necessarily,albatta
build,qurmoq
attempted,urinish
centuries,asrlar
eggs,tuxum
equivalent,ekvivalent
hastily,shoshqaloqlik bilan
burned,yonib ketgan
you'd,Siz
recent,yaqinda bo'ladigan
oh,ayanchli
travel,sayohat qilmoq
cries,yig'lamoq
noon,peshin
crying,yig'lash
generations,avlodlar
located,joyida joylashgan
cabin,kabin
announcement,e'lon
Britain,Britaniya
compared,solishtirma
handed,qo'lda
cease,to'xtatib turish
smaller,kichikroq
circumstance,vaziyat
tent,chodir
frequent,tez-tez
alarm,signal
nervous,asab
beast,hayvon
what's,nima
aloud,ovoz chiqarib
independent,mustaqil
gates,darvoza
distinction,farq
essential,muhim
observation,kuzatuv
stronger,kuchli
recovered,tikilib qoldi
belonging,tegishli
loving,mehribon
masters,usta
writers,Yozuvchilar
cf.,CF.
permanent,doimiy
mortal,o'lik
stern,qattiq
gratitude,minnatdorchilik
preserve,saqlamoq
burden,og'ir yuk
aspect,ko'maklashmoq
millions,million
merry,quvnoq
knife,pichoq
dread,qo'rqitmoq
clever,aqlli
applicable,qo'llaniladigan
district,tuman
shadows,soyalar
Jim,Jim
silk,ipak
failure,muvaffaqiyatsizlik
links,martaba
cent,tsent
sentiment,sezgirlik
amid,omin
profits,foyda
agent,agent
finds,topadi
Russia,Rossiya
bade,bukmoq
Russian,Rus
desperate,umidsiz
union,ittifoq
imagined,xayoliy
contempt,nafrat
raising,ko'tarish
lords,Lordlar
hell,do'zax
hello,salom
separated,ajratilgan
grant,grant
seriously,jiddiy
tribes,qabilalar
hit,urib olmoq
enormous,ulkan
defective,nuqsonli
conviction,ishonch
secured,kafolatlangan
mixed,aralashgan
insisted,talab qilib qo'ygan
wooden,yog'och
prefer,afzal ko'rmoq
prayers,Ibodatlar
fever,isitma
selected,tanlangan
daughters,qizlar
treat,muomala qilmoq
warning,ogohlantirish
flew,uchib ketgan
speaks,gapiradigan
developed,rivojlangan
impulse,turtki
slipped,sirpanchiq
ours,bizniki
Johnson,Johnson
mistaken,yanglish
damages,zarar
ambition,shuhratparastlik
resumed,boshpana
christmas,rojdestvo
yield,Yo'l bering
ideal,ideal
schools,Maktablar
confirmed,tasdiqlangan
descended,tushirilgan
rush,shoshqaloqlik
falls,tushish
deny,inkor qilmoq
calculated,hisoblangan
correct,to'g'ri
perform,ijro etmoq
hadn't,yo'q edi
somehow,qaysar
accordingly,shunga ko'ra
stayed,qolgan
acquired,sotib olingan
counsel,maslahat
distress,qayg'u
sins,gunohs
notion,tushunish tushunchasi
discussion,muhokama
constitution,konstitutsiya
Anne,Anne
hundreds,yuzlab
instrument,asbob
firmly,mahkam
actions,Harakatlar
steady,barqaror
remarks,Izohlar
empire,imperiya
elements,elementlar
idle,bo'sh
pen,qalam
entering,kirish
online,onlayn
Africa,Afrika
permit,ruxsat bermoq
th',fohisha
tide,to'lqin
vol,jild
leaned,suyanmoq
college,kollej
maintain,saqlamoq
sovereign,suveren
tail,dum
generation,avlod
crowded,gavjum
fears,qo'rquv
nights,tunlar
limitation,cheklash
tied,bog'langan
horrible,dahshatli
cat,mushuk
displaying,ko'rsatish
port,portlamoq
male,erkak
experienced,tajribali
opposed,qarshilik ko'rsatadigan
treaty,shartnoma
contents,tarkibi
rested,dam olish
mode,rejimi
poured,quyilgan
les,les
occur,sodir bo'lmoq
seeking,izlamoq
practically,amalda
abandoned,tashlab ketilgan
reports,hisobotlar
eleven,o'n bir
sank,cho'kmoq
begins,boshlanadi
founded,asos solingan
brings,olib keladigan
trace,iz
instinct,instinkt
collected,yig'ilgan
Scotland,Shotlandiya
characteristic,xarakterli
chose,tanlamoq
cheerful,quvnoq
tribe,qabila
costs,xarajatlar
threatened,tahdid qilingan
arrangement,tartibga solish
western,g'arbiy
sang,kuylamoq
beings,mavjudotlar
Sam,Sam
pressure,bosim
politics,siyosat
sorts,saralash
shelter,boshpana
rude,qo'pol
scientific,ilmiy
revealed,oshkor bo'ldi
winds,shamollar
riding,minish
scenes,sahna
shake,silkitmoq
industry,sanoat
claims,da'volar
pp.,pp.
merit,madh etmoq
profession,kasb
lamp,chiroq
interview,intervyu
territory,yer
sleeping,uxlash
sex,jinsiy aloqa
coffee,kofe
devotion,sadoqat
thereof,shu sababli
creation,yaratish
trail,iz
Romans,Rimliklar
supported,qo'llab-quvvatlanadigan
requires,talab qilmoq
fathers,ota
prospect,istiqbol
obey,itoat qilmoq
Alexander,Aleksandr
shone,yalinmoq
operation,operatsiya
northern,shimoliy
nurse,hamshira
profound,chuqur
hungry,och
Scott,Skott
sisters,opa-singillar
assure,ishontirmoq
exceedingly,juda
match,o'yin
wrath,qahr
continually,doimiy ravishda
rest.,dam oling.
gifts,sovg'alar
folly,ahmoq
chain,zanjir
uniform,forma
debt,qarz
teaching,o'rgatish
venture,rul
execution,bajarilish
shoes,poyabzal
mood,kayfiyat
crew,ekipaj
perceive,idrok qilmoq
accounts,Hisoblar
eating,ovqatlanish
multitude,ko'p
declare,e'lon qilmoq
yard,hovli
o'er,o'g'rilik
astonishment,hayrat
version,versiya
vague,noaniq
odd,g'alati
grateful,minnatdor
nearest,eng yaqin
infinite,cheksiz
elsewhere,boshqa joyda
copying,nusxa ko'chirish
apartment,kvartira
activity,faoliyat
wives,xotinlar
parted,ikkiga bo'lingan
security,xavfsizlik
cared,g'amxo'r
sensible,aqlli
owing,shunday qilib
Martin,Mardayn
Saturday,Shanba
cottage,yozgi uy
Jews,Yahudiylar
leaning,suyanmoq
capacity,sig'im
joe,jou
settle,hal qilmoq
referred,...
Francis,Francis
holder,ega
involved,ishtirok etgan
sunshine,quyosh nuri
Dutch,Golland
council,kengash
princes,knyazlar
ate,yemoq
examination,tekshirish
steel,po'lat
strangers,notanish odamlar
beheld,ko'rkam
test,test
noted,qayd etilgan
slightest,oz
widow,beva ayol
charity,xayriya
realized,amalga oshirildi
element,element
shed,shid
errors,xatolar
communication,aloqa
reflection,aks ettirish
attacked,hujum qilingan
organization,tashkilot
maintained,davom ettirildi
restored,tikilish
folks,Xalqlar
concealed,yashirin
accordance,muvofiq
heavens,osmon
star,Yulduz
examined,tekshirib ko'rilgan
deeds,ishlarni
wordforms,so'zforma
somebody,kimdir
incident,voqea
oath,qasam
guest,mehmon
bar,bar
row,qator
poverty,qashshoqlik
bottle,shisha
prevented,oldini oldi
bless,baraka
stir,aralashtirmoq
intense,qizg'in
completed,tugallangan
quarrel,janjalkash
touching,teginish
inner,ichki
available,mavjud
fix,tuzatmoq
resistance,qarshilik
unusual,g'ayrioddiy
deed,xat
derive,olmoq
hollow,ichi bo'sh
suspected,gumon qilingan
contains,o'z ichiga oladi
sighed,xo'rlaydigan
province,provinsiya
deserted,xirillagan
establishment,muassasa
vote,ovoz berish
muttered,g'altak
thither,u erga
oxford,oksord
cavalry,otliq
lofty,baland
endure,chidamoq
succeed,muvaffaqiyat qozonmoq
leg,oyoq
bid,taklif qilmoq
Alice,Aliat
hated,nafratlangan
civilization,tsivilizatsiya
u.s.,Biz.
acting,harakat qilmoq
landed,qo'ngan
Christians,Xristianlar
passions,ehtiroslar
interior,ichki
scarce,tanqis
lightly,engil
disturbed,bezovta
rev,ayni
supreme,oliy
hang,osmoq
notwithstanding,qaramay
shock,shok
exception,istisno
offering,qurbonlik qilmoq
display,ko'rsatmoq
strain,siqmoq
drank,ichkilikbozlik qilmoq
confined,cheklangan
o,o
exhausted,charchagan
poets,shoirlar
sounded,yanglishgan
aim,maqsad
critical,tanqidiy
Jerusalem,Qirol
directions,yo'nalish
negro,negr
fearful,qo'rqinchli
standard,standart
studied,o'rganilgan
bag,sumka
n,n
buildings,Binolar
consequences,oqibat
commenced,boshlandi
deeper,Chuqurroq
repeat,takrorlamoq
driving,haydash
beasts,hayvonlar
track,yo'llamoq
rid,qo'rqitmoq
holds,ushlab turadi
residence,yashash joyi
steadily,barqaror
intimate,samimiy
drinking,ichimlik
swear,qasam ichmoq
treasure,xazina
fun,kulgili
throwing,otish
apt,apt
enterprise,korxona
queer,g'alatiroq
seed,urug '
tower,minora
runs,yuguradi
defend,himoya qilmoq
favourite,sevimli
desires,istaklar
heavily,qattiq
assembled,yig'ilgan
existed,mavjud bo'lgan
depends,bog'liq
poems,she'rlar
hesitated,ikkilanib
stuff,narsalar
section,Bo'lim
settlement,hal qilish
staring,tikilish
sole,soley
roads,yo'llar
plate,plitasi
Mexico,Meksika
overcome,yengmoq
pains,og'riqlar
performing,ijro etish
dwell,yashamoq
grounds,asoslar
taxes,Soliqlar
marble,marmar
recently,yaqinda
tones,ohanglar
ability,qobiliyat
awake,uyg'otmoq
Walter,Shayton
wave,to'lqin
shaking,titrash
folk,xalq
possibility,imkoniyat
butter,sariyog '
fury,g'azab
marched,yurish
Moses,Muso
writes,yozadi
issued,berilgan sana
sailed,suzib yurgan
instructions,Ko'rsatmalar
hatred,nafrat
pursuit,ta'qib qilish
pull,Torting
furniture,mebel
additions,qo'shimcha qo'shimchalar
hid,yashirin
rope,arqon
vi,vi
adventure,sarguzasht
royalty,royalti
vanished,g'oyib bo'ldi
arts,san'at
elder,oqsoqol
signal,signal
wanting,istagan
supplied,ta'minlangan
feast,to'y
safely,beadab
burn,kuymoq
describe,tasvirlamoq
references,Adabiyotlar
lesson,dars
annual,yillik
card,kartochka
passes,pas
application,ariza
intelligent,aqlli
county,okrug
beaten,kaltaklangan
presents,sovg'alar
format,format
flow,oqim
sixty,oltmish
scale,shkala
damage,zarar
marks,belgilar
obtaining,qo'lga kiritmoq
moreover,bundan tashqari
commerce,savdo qilmoq
startled,qo'rqib ketgan
southern,Janubiy
consequently,shunday qilib
outer,tashqi
belongs,tegishli
ben,ben
wrought,jinoyat qilingan
average,o'rtacha
naked,yalang'och
conducted,o'tkazilgan
rivers,daryolar
songs,Qo'shiqlar
obvious,ravshan
foundation,poydevor
concern,tashvish
ceremony,marosim
magic,sehr
campaign,kampaniya
hunting,ovchilik
Carolina,Karolina
liberal,liberal
whisper,pichirlash
largely,asosan
commonly,odatdagidek
torn,yirtilgan
exists,mavjud
contributions,Qarzlar
hunt,ovlamoq
teacher,o'qituvchi
Christianity,Xristianlik
lawyer,huquqshunos; advokat
operations,operatsiyalar
detail,tafsilotlar
shortly,qisqacha
Caesar,Qaysar
wondering,hayron
leaders,rahbarlik
blessing,baraka
princess,malika
he'd,u
altar,qurbongoh
tenderness,muloyimlik
tiny,mayda
web,veb
cardinal,karton
sharply,keskin
regiment,polk
chest,ko'krak qafasi
distinctly,aniq
purple,siyohrang
creating,yaratish
gather,yig'moq
depth,chuqurlik
indignation,g'azab
performance,ijro etish
election,saylov
prosperity,farovonlik
gloomy,ma'yus
conception,tushuncha
clerk,kotib
decide,qaror qilmoq
drunk,mast
victim,jabrlanuvchi
reflected,aks ettirilgan
pour,quymoq
preceding,Oldingi
individuals,Jismoniy shaxslar
gazing,qarg'ish
absurd,bema'ni
lift,ko'tarmoq
gesture,imo-ishora
armies,armiyalar
limbs,oyoq-qo'llar
manage,boshqarmoq
brethren,birodarlar
Hugh,Hug
plays,spektakl
hastened,tezlatmoq
dragged,sudraluvchi
motive,sabab
whatsoever,nima
pointing,ishora
verses,oyatlar
pronounced,ravshan
exchange,birja
definite,aniq
emperor,imperator
tendency,tendentsiya
remote,uzoq
finish,tugatmoq
flag,bayroq
Word,So'z
boots,etik
enabled,yoqilgan
administration,ma'muriyat
denied,rad etildi
churches,cherkovlar
rarely,kamdan-kam hollarda
earnestly,astoydil
considering,hisobga olgan holda
previously,ilgari
ugly,xunuk
bears,ayiqlar
signed,imzolangan
genuine,chinakam
harmless,zararsiz
mingled,aralashtirilgan
obedience,itoatkorlik
walks,yurish
training,o'rgatish
badly,yomon
feed,yem
central,markaziy
contrast,qarama-qarshilik
relieved,ozod bo'lgan
romance,romantika
Mississippi,Ministri
structure,tuzilish
payment,to'lov
pace,surmoq
passages,o'tish joylari
succession,ketma-ketlik
persuaded,ishontirildi
sources,manba
inquiry,so'rov
inspired,ilhomlantirilgan
angels,farishtalar
roll,rulon
wilt,so'lmoq
inch,dyuym
troubles,muammolar
perfection,mukammallik
Lee,Lee
wherever,qayerda bo'lmasin
owe,qarzdor bo'lmoq
handle,tutqich
advantages,afzalliklari
trip,sayohat
shoot,otmoq
fortunate,baxtsiz
newspaper,gazeta
employment,bandlik
fitted,jihozlangan
refuge,boshpana
misfortune,baxtsizlik
providence,provosxona
owns,egalik qiladi
cutting,kesish
beard,soqol
stirred,qo'zg'atilgan
tear,yirtmoq
Dan,Daryo
resist,qarshilik ko'rsatmoq
Bob,Bob
depths,chuqurlik
maiden,qizcha
determine,aniqlamoq
commission,komissiya
merchant,savdogar
whereas,holdir
crossing,kesib o'tish
independence,mustaqillik
lively,jonli
breeze,shabada
provinces,Viloyatlar
Jean,Shilmoq
virtues,fazilatlar
conceived,homilador qilmoq
relative,qarindosh
solitary,yolg'iz
smell,hid
wandering,sayr qilmoq
thereby,shu bilan
eighteen,o'n sakkiz
locked,qulflangan
provision,taqdim etmoq
courts,sudlar
eaten,yeyilgan
historical,tarixiy
regarding,haqida
Florence,Florensiya
preferred,afzal ko'rgan
pick,tanlamoq
ruined,vayron qilingan
wherein,qayerdan
vanity,behudalik
condemned,hukm qilingan
deliver,yetkazib bermoq
unexpected,kutilmagan
desk,stol
gross,yalpi
lane,bo'lak
happens,sodir bo'ladi
represent,ifodalamoq
Billy,Billli
root,ildiz
Holland,Golland
mud,loy
respectable,hurmatli
cleared,tozalangan
feels,his qilmoq
fruits,meva
testimony,guvohlik
Milton,Militsioner
existing,mavjud
bride,kelin
rang,jiringlamoq
ranks,martabalar
responsibility,javobgarlik
beating,urish
disappointed,ko'ngli qolgan
suitable,mos
depend,bog'liq bo'lmoq
judges,sudyalar
